timestamp_ms,latitude,longitude,altitude_m,fix_quality,satellites,hdop,speed_kn,heading_deg
3219700,41.4906815,-91.7033834,193.8701,1,05,2.7,0.08955,2113
3219858,41.4906815,-91.7033834,193.8701,1,05,2.7,0.08955,2113
3220001,41.4906813,-91.7033835,193.8810,1,18,0.9,0.08329,2113
3220112,41.4906815,-91.7033833,193.8963,1,16,1.0,0.07350,2113
3220275,41.4906815,-91.7033833,193.8963,1,16,1.0,0.07350,2113
3220507,41.4906760,-91.7033856,194.1863,1,05,2.7,0.09883,2113
3220668,41.4906760,-91.7033856,194.1863,1,05,2.7,0.09883,2113
3220936,41.4906759,-91.7033856,194.2056,1,05,2.7,0.10505,2113
3221221,41.4906759,-91.7033856,194.2056,1,05,2.7,0.14637,2113
3221301,41.4906759,-91.7033855,194.2059,1,05,2.7,0.14637,2112
3221494,41.4906705,-91.7033885,194.2149,1,05,2.7,0.11430,2113
3221647,41.4906705,-91.7033885,194.2149,1,05,2.7,0.11430,2113
3221799,41.4906705,-91.7033884,194.2118,1,05,2.7,0.13538,2113
3221897,41.4906705,-91.7033884,194.2245,1,05,2.7,0.12099,2113
3222050,41.4906705,-91.7033884,194.2245,1,05,2.7,0.12099,2113
3222301,41.4906705,-91.7033884,194.2424,1,05,2.7,0.13318,2113
3222459,41.4906705,-91.7033884,194.2424,1,05,2.7,0.13318,2113
3222614,41.4906706,-91.7033885,194.2267,1,05,2.7,0.11251,2113
3222703,41.4906705,-91.7033885,194.2241,1,05,2.7,0.05384,2113
3222846,41.4906705,-91.7033885,194.2241,1,05,2.7,0.05384,2113
3223112,41.4906706,-91.7033884,194.2416,1,05,2.7,0.05353,2112
3223258,41.4906706,-91.7033884,194.2416,1,05,2.7,0.05353,2112
3223508,41.4906702,-91.7033889,194.2646,1,18,0.9,0.07244,2113
3223768,41.4906702,-91.7033889,194.2646,1,18,0.9,0.07244,2113
3224097,41.4906703,-91.7033890,194.2257,1,05,2.7,0.10716,2112
3224208,41.4906703,-91.7033890,194.2257,1,05,2.7,0.10716,2112
3224350,41.4906704,-91.7033891,194.2134,1,05,2.7,0.10716,2113
3224484,41.4906704,-91.7033891,194.2134,1,05,2.7,0.10716,2113
3224668,41.4906704,-91.7033891,194.2134,1,05,2.7,0.19593,2113
3224801,41.4906703,-91.7033892,194.1848,1,18,0.9,0.10141,2113
3225073,41.4906704,-91.7033890,194.2249,1,18,0.9,0.07982,2113
3225230,41.4906704,-91.7033890,194.2249,1,18,0.9,0.07982,2113
3225450,41.4906701,-91.7033894,194.2122,1,18,0.9,0.13473,2113
3225603,41.4906701,-91.7033894,194.2122,1,18,0.9,0.13473,2113
3225853,41.4906701,-91.7033894,194.2230,1,05,2.7,0.13473,2112
3226012,41.4906701,-91.7033894,194.2230,1,05,2.7,0.13473,2112
3226112,41.4906702,-91.7033894,194.2014,1,05,2.7,0.13473,2112
3226264,41.4906702,-91.7033894,194.2014,1,05,2.7,0.13473,2112
3226407,41.4906700,-91.7033897,194.2380,1,05,2.7,0.07057,2112
3226651,41.4906699,-91.7033896,194.2256,1,05,2.7,0.12782,2113
3226824,41.4906699,-91.7033896,194.2256,1,05,2.7,0.12782,2113
3227098,41.4906700,-91.7033896,194.2773,1,05,2.7,0.05615,2112
3227212,41.4906700,-91.7033896,194.2773,1,05,2.7,0.05615,2112
3227299,41.4906644,-91.7033953,194.2217,1,06,2.6,0.05615,2112
3227437,41.4906644,-91.7033953,194.2217,1,06,2.6,0.05615,2112
3227598,41.4906644,-91.7033953,194.2268,1,06,2.6,0.05869,2112
3227701,41.4906645,-91.7033953,194.2460,1,06,2.6,0.02282,2112
3227849,41.4906645,-91.7033953,194.2460,1,06,2.6,0.02282,2112
3228001,41.4906644,-91.7033953,194.2352,1,06,2.6,0.12833,2112
3228107,41.4906645,-91.7033953,194.2210,1,06,2.6,0.04568,2112
3228253,41.4906645,-91.7033953,194.2210,1,06,2.6,0.04568,2112
3228605,41.4906638,-91.7033944,194.2605,1,06,2.6,0.19744,2112
3228708,41.4906637,-91.7033945,194.2276,1,06,2.6,0.16775,2112
3228892,41.4906637,-91.7033945,194.2276,1,06,2.6,0.16775,2112
3229094,41.4906638,-91.7033944,194.2701,1,06,2.6,0.16574,2112
3229317,41.4906638,-91.7033945,194.2323,1,06,2.6,0.07426,2112
3229484,41.4906638,-91.7033945,194.2323,1,06,2.6,0.07426,2112
3229696,41.4906631,-91.7033939,194.2410,1,05,2.7,0.04076,2113
3229844,41.4906631,-91.7033939,194.2410,1,05,2.7,0.04076,2113
3229998,41.4906630,-91.7033939,194.2407,1,18,0.9,0.10756,2113
3230101,41.4906631,-91.7033938,194.2617,1,18,0.9,0.12706,2113
3230225,41.4906631,-91.7033938,194.2617,1,18,0.9,0.12706,2113
